q,n,kind,lambda_q,ratio
2,100,prime,1,0.21714724095162588
3,100,prime,2,0.43429448190325176
4,100,prime_power,2,0.43429448190325176
5,100,prime,4,0.8685889638065035
6,100,composite,2,0.43429448190325176
7,100,prime,6,1.3028834457097553
8,100,prime_power,2,0.43429448190325176
9,100,prime_power,6,1.3028834457097553
10,100,composite,4,0.8685889638065035
11,100,prime,10,2.1714724095162588
12,100,composite,2,0.43429448190325176
13,100,prime,12,2.6057668914195107
14,100,composite,6,1.3028834457097553
15,100,composite,4,0.8685889638065035
16,100,prime_power,4,0.8685889638065035
17,100,prime,16,3.474355855226014
18,100,composite,6,1.3028834457097553
19,100,prime,18,3.908650337129266
20,100,composite,4,0.8685889638065035
21,100,composite,6,1.3028834457097553
22,100,composite,10,2.1714724095162588
23,100,prime,22,4.777239300935769
24,100,composite,2,0.43429448190325176
25,100,prime_power,20,4.3429448190325175
26,100,composite,12,2.6057668914195107
27,100,prime_power,18,3.908650337129266
28,100,composite,6,1.3028834457097553
29,100,prime,28,6.080122746645525
30,100,composite,4,0.8685889638065035
31,100,prime,30,6.514417228548777
32,100,prime_power,8,1.737177927613007
33,100,composite,10,2.1714724095162588
34,100,composite,16,3.474355855226014
35,100,composite,12,2.6057668914195107
36,100,composite,6,1.3028834457097553
37,100,prime,36,7.817300674258532
38,100,composite,18,3.908650337129266
39,100,composite,12,2.6057668914195107
40,100,composite,4,0.8685889638065035
41,100,prime,40,8.685889638065035
42,100,composite,6,1.3028834457097553
43,100,prime,42,9.120184119968288
44,100,composite,10,2.1714724095162588
45,100,composite,12,2.6057668914195107
46,100,composite,22,4.777239300935769
47,100,prime,46,9.988773083774792
48,100,composite,4,0.8685889638065035
49,100,prime_power,42,9.120184119968288
50,100,composite,20,4.3429448190325175
51,100,composite,16,3.474355855226014
52,100,composite,12,2.6057668914195107
53,100,prime,52,11.291656529484547
54,100,composite,18,3.908650337129266
55,100,composite,20,4.3429448190325175
56,100,composite,6,1.3028834457097553
57,100,composite,18,3.908650337129266
58,100,composite,28,6.080122746645525
59,100,prime,58,12.594539975194301
60,100,composite,4,0.8685889638065035
61,100,prime,60,13.028834457097554
62,100,composite,30,6.514417228548777
63,100,composite,6,1.3028834457097553
64,100,prime_power,16,3.474355855226014
65,100,composite,12,2.6057668914195107
66,100,composite,10,2.1714724095162588
67,100,prime,66,14.33171790280731
68,100,composite,16,3.474355855226014
69,100,composite,22,4.777239300935769
70,100,composite,12,2.6057668914195107
71,100,prime,70,15.200306866613813
72,100,composite,6,1.3028834457097553
73,100,prime,72,15.634601348517064
74,100,composite,36,7.817300674258532
75,100,composite,20,4.3429448190325175
76,100,composite,18,3.908650337129266
77,100,composite,30,6.514417228548777
78,100,composite,12,2.6057668914195107
79,100,prime,78,16.93748479422682
80,100,composite,4,0.8685889638065035
81,100,prime_power,54,11.725951011387798
