q,n,kind,lambda_q,ratio
2,1000,prime,1,0.14476482730108395
3,1000,prime,2,0.2895296546021679
4,1000,prime_power,2,0.2895296546021679
5,1000,prime,4,0.5790593092043358
6,1000,composite,2,0.2895296546021679
7,1000,prime,6,0.8685889638065036
8,1000,prime_power,2,0.2895296546021679
9,1000,prime_power,6,0.8685889638065036
10,1000,composite,4,0.5790593092043358
11,1000,prime,10,1.4476482730108395
12,1000,composite,2,0.2895296546021679
13,1000,prime,12,1.7371779276130073
14,1000,composite,6,0.8685889638065036
15,1000,composite,4,0.5790593092043358
16,1000,prime_power,4,0.5790593092043358
17,1000,prime,16,2.316237236817343
18,1000,composite,6,0.8685889638065036
19,1000,prime,18,2.605766891419511
20,1000,composite,4,0.5790593092043358
21,1000,composite,6,0.8685889638065036
22,1000,composite,10,1.4476482730108395
23,1000,prime,22,3.184826200623847
24,1000,composite,2,0.2895296546021679
25,1000,prime_power,20,2.895296546021679
26,1000,composite,12,1.7371779276130073
27,1000,prime_power,18,2.605766891419511
28,1000,composite,6,0.8685889638065036
29,1000,prime,28,4.05341516443035
30,1000,composite,4,0.5790593092043358
31,1000,prime,30,4.342944819032518
32,1000,prime_power,8,1.1581186184086716
33,1000,composite,10,1.4476482730108395
34,1000,composite,16,2.316237236817343
35,1000,composite,12,1.7371779276130073
36,1000,composite,6,0.8685889638065036
37,1000,prime,36,5.211533782839022
38,1000,composite,18,2.605766891419511
39,1000,composite,12,1.7371779276130073
40,1000,composite,4,0.5790593092043358
41,1000,prime,40,5.790593092043358
42,1000,composite,6,0.8685889638065036
43,1000,prime,42,6.080122746645526
44,1000,composite,10,1.4476482730108395
45,1000,composite,12,1.7371779276130073
46,1000,composite,22,3.184826200623847
47,1000,prime,46,6.659182055849862
48,1000,composite,4,0.5790593092043358
49,1000,prime_power,42,6.080122746645526
